no,"sex(male:1,female:0)",age,height,weight,bmi,preference, experimental environment,sensitivity,date,time,room((meeting:1 reception:2 drinks:3)),thermal sensation,thermal comfort(com:1 discom:0),thermal preference (C:1 U:2 W:3),seat number,temp,humid
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,11:30:00,1.0,0.0,1.0,2.0,15.0,24.1,20.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,12:00:00,1.0,0.0,1.0,2.0,15.0,24.2,20.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,14:30:00,1.0,1.0,1.0,2.0,15.0,23.9,18.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,15:00:00,1.0,2.0,0.0,1.0,15.0,24.5,18.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,15:30:00,1.0,2.0,0.0,1.0,15.0,25.1,18.7
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,16:00:00,1.0,1.0,1.0,1.0,15.0,25.0,19.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,16:30:00,1.0,0.0,1.0,2.0,15.0,24.9,20.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,17:00:00,1.0,0.0,1.0,2.0,15.0,24.9,20.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,17:30:00,1.0,-1.0,1.0,3.0,15.0,24.8,20.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,9:00:00,1.0,0.0,1.0,2.0,12.0,22.5,14.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,9:30:00,1.0,0.0,1.0,2.0,12.0,22.9,16.7
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,10:00:00,1.0,0.0,1.0,2.0,12.0,23.1,17.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,10:30:00,1.0,-1.0,0.0,3.0,12.0,23.3,17.3
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,11:00:00,1.0,0.5,1.0,2.0,12.0,24.4,16.3
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,11:30:00,1.0,0.5,1.0,2.0,12.0,24.8,16.8
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,12:00:00,1.0,0.5,1.0,2.0,12.0,25.1,17.0
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,14:30:00,1.0,0.5,0.0,1.0,12.0,25.8,14.4
