ÊµÑéÈËÔ±±àºÅ,ÄêÁä,Éí¸ß,ÌåÖØ,BMI,ÈÕÆÚ,Ê±¼ä,ÎÂ¶È£¨¡æ£©,Êª¶È£¨%£©,ÈÈÊæÊÊ½ÓÊÜ³Ì¶È£¨-3~3£©,ÈÈ¸Ğ¾õ£¨-3~3£©,ÓĞÎŞ·ç¸Ğ
1,22,164,45,16.73111243,2018/7/18,14:30:00,27.2¡æ,50,-2,2,0
1,22,164,45,16.73111243,2018/7/18,15:00:00,29.0¡æ,48,-2.5,2.5,0
1,22,164,45,16.73111243,2018/7/18,15:30:00,29.7¡æ,46,-2,2.5,0
1,22,164,45,16.73111243,2018/7/18,16:00:00,26.5¡æ,44,1,0,1
1,22,164,45,16.73111243,2018/7/18,16:30:00,25.7¡æ,42,0,-0.7,1
1,22,164,45,16.73111243,2018/7/18,17:00:00,25.2¡æ,43,-1,-1.5,1
1,22,164,45,16.73111243,2018/7/18,17:30:00,27.0¡æ,45,0,0,0
1,22,164,45,16.73111243,2018/7/19,8:50:00,29.8¡æ,58,-2,2,0
1,22,164,45,16.73111243,2018/7/19,9:00:00,29.0¡æ,59,-2,2,0
1,22,164,45,16.73111243,2018/7/19,9:30:00,24.7¡æ,48,0,-0.5,1
1,22,164,45,16.73111243,2018/7/19,10:00:00,23.2¡æ,50,1,0,1
1,22,164,45,16.73111243,2018/7/19,10:30:00,23.1¡æ,52,1,-0.5,1
1,22,164,45,16.73111243,2018/7/19,11:00:00,22.8¡æ,50,0,-1,1
1,22,164,45,16.73111243,2018/7/19,11:30:00,22.9¡æ,52,-2,-2,1
1,22,164,45,16.73111243,2018/7/19,12:00:00,23.0¡æ,52,-2,-2,1
1,22,164,45,16.73111243,2018/7/19,14:20:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/19,14:30:00,29.9,50,-2,2.5,0
1,22,164,45,16.73111243,2018/7/19,15:00:00,24.8,44,3,0,1
1,22,164,45,16.73111243,2018/7/19,15:30:00,24.4,45,2,-0.5,1
1,22,164,45,16.73111243,2018/7/19,16:00:00,24.2,46,-1,-1.5,1
1,22,164,45,16.73111243,2018/7/19,16:30:00,24.2,49,-1,-1.5,1
1,22,164,45,16.73111243,2018/7/19,17:00:00,24.5,46,-1.5,-1,1
1,22,164,45,16.73111243,2018/7/19,17:30:00,24.1,46,-1,0,1
1,22,164,45,16.73111243,2018/7/20,8:50:00,29.9,55,-2.5,2.5,0
1,22,164,45,16.73111243,2018/7/20,9:00:00,29.5,55,-1.5,1.5,0
1,22,164,45,16.73111243,2018/7/20,9:30:00,29.1,49,-1.5,1,0
1,22,164,45,16.73111243,2018/7/20,10:00:00,28.5,45,0,0,0
1,22,164,45,16.73111243,2018/7/20,10:30:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/20,11:00:00,26.4,44,0,-1,0
1,22,164,45,16.73111243,2018/7/20,11:30:00,26.3,45,0,-0.5,0
1,22,164,45,16.73111243,2018/7/20,12:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/20,14:20:00,25.7,48,-2,2,0
1,22,164,45,16.73111243,2018/7/20,14:30:00,26,48,-1,1,0
1,22,164,45,16.73111243,2018/7/20,15:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/20,15:30:00,25.3,46,0,0,1
1,22,164,45,16.73111243,2018/7/20,16:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/20,16:30:00,26.2,45,0,0,1
1,22,164,45,16.73111243,2018/7/20,17:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/20,17:30:00,nan,nan,nan,nan,nan
